Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.cwp
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
Signal value: 111
force in 443994
584315000 >> iteration no: 0
994990000 >> iteration no: 1
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
1023590000 >> Error detected...
1025215000 >> Error detected...
1025865000 >> Error detected...
1026315000 >> Error detected...
1027015000 >> Error detected...
1027440000 >> Error detected...
1029015000 >> Error detected...
1029640000 >> Error detected...
1031265000 >> Error detected...
1031915000 >> Error detected...
1032365000 >> Error detected...
1033065000 >> Error detected...
1033490000 >> Error detected...
1035065000 >> Error detected...
1035690000 >> Error detected...
1037140000 >> Error detected...
1037965000 >> Error detected...
1038415000 >> Error detected...
1039115000 >> Error detected...
1039540000 >> Error detected...
1041115000 >> Error detected...
1041740000 >> Error detected...
1043190000 >> Error detected...
1044015000 >> Error detected...
1044465000 >> Error detected...
1045165000 >> Error detected...
1045590000 >> Error detected...
1047165000 >> Error detected...
1047790000 >> Error detected...
1049240000 >> Error detected...
1049890000 >> Error detected...
1050515000 >> Error detected...
1051215000 >> Error detected...
1051640000 >> Error detected...
1053215000 >> Error detected...
1053840000 >> Error detected...
1055290000 >> Error detected...
1055940000 >> Error detected...
1056390000 >> Error detected...
1057265000 >> Error detected...
1057690000 >> Error detected...
1059265000 >> Error detected...
1059890000 >> Error detected...
1061340000 >> Error detected...
1061990000 >> Error detected...
1062440000 >> Error detected...
1063315000 >> Error detected...
1063740000 >> Error detected...
1065315000 >> Error detected...
1065940000 >> Error detected...
1067390000 >> Error detected...
1068040000 >> Error detected...
1068490000 >> Error detected...
1069190000 >> Error detected...
1069790000 >> Error detected...
1071365000 >> Error detected...
1071990000 >> Error detected...
1073440000 >> Error detected...
1074090000 >> Error detected...
1074540000 >> Error detected...
1075240000 >> Error detected...
1075665000 >> Error detected...
1077415000 >> Error detected...
1078040000 >> Error detected...
1079490000 >> Error detected...
1080140000 >> Error detected...
1080590000 >> Error detected...
1081290000 >> Error detected...
1081715000 >> Error detected...
1083440000 >> Error detected...
1084065000 >> Error detected...
1085515000 >> Error detected...
1086165000 >> Error detected...
1086615000 >> Error detected...
1087315000 >> Error detected...
1087740000 >> Error detected...
1089490000 >> Error detected...
1090115000 >> Error detected...
1091565000 >> Error detected...
1092215000 >> Error detected...
1092665000 >> Error detected...
1093365000 >> Error detected...
1093790000 >> Error detected...
1095540000 >> Error detected...
1096165000 >> Error detected...
1097615000 >> Error detected...
1098265000 >> Error detected...
1098715000 >> Error detected...
1099415000 >> Error detected...
1099840000 >> Error detected...
1101415000 >> Error detected...
1102190000 >> Error detected...
1103640000 >> Error detected...
1104290000 >> Error detected...
1104740000 >> Error detected...
1105440000 >> Error detected...
1105865000 >> Error detected...
1107440000 >> Error detected...
1108240000 >> Error detected...
1109690000 >> Error detected...
1110340000 >> Error detected...
1110790000 >> Error detected...
1111490000 >> Error detected...
1111915000 >> Error detected...
1113490000 >> Error detected...
1114115000 >> Error detected...
1115740000 >> Error detected...
1116390000 >> Error detected...
1116840000 >> Error detected...
1117540000 >> Error detected...
1117965000 >> Error detected...
1119540000 >> Error detected...
1120165000 >> Error detected...
1121790000 >> Error detected...
1122440000 >> Error detected...
1122890000 >> Error detected...
1123590000 >> Error detected...
1124015000 >> Error detected...
1125590000 >> Error detected...
1126215000 >> Error detected...
1127840000 >> Error detected...
1128490000 >> Error detected...
1128940000 >> Error detected...
1129640000 >> Error detected...
1130065000 >> Error detected...
1131640000 >> Error detected...
1132265000 >> Error detected...
1133890000 >> Error detected...
1134540000 >> Error detected...
1134990000 >> Error detected...
1135690000 >> Error detected...
1136115000 >> Error detected...
1137690000 >> Error detected...
1138315000 >> Error detected...
1139765000 >> Error detected...
1140590000 >> Error detected...
1141040000 >> Error detected...
1141740000 >> Error detected...
1142165000 >> Error detected...
1143740000 >> Error detected...
1144365000 >> Error detected...
1145815000 >> Error detected...
1146640000 >> Error detected...
1147090000 >> Error detected...
1147790000 >> Error detected...
1148215000 >> Error detected...
1149790000 >> Error detected...
1150415000 >> Error detected...
1151865000 >> Error detected...
1152515000 >> Error detected...
1153140000 >> Error detected...
1153840000 >> Error detected...
1154265000 >> Error detected...
1155840000 >> Error detected...
1156465000 >> Error detected...
1157915000 >> Error detected...
1158565000 >> Error detected...
1159190000 >> Error detected...
1159890000 >> Error detected...
1160315000 >> Error detected...
1161890000 >> Error detected...
1162515000 >> Error detected...
1163965000 >> Error detected...
1164615000 >> Error detected...
1165065000 >> Error detected...
1165940000 >> Error detected...
1166365000 >> Error detected...
1167940000 >> Error detected...
1168565000 >> Error detected...
1170015000 >> Error detected...
1170665000 >> Error detected...
1171115000 >> Error detected...
1171815000 >> Error detected...
1172415000 >> Error detected...
1173990000 >> Error detected...
1174615000 >> Error detected...
1176065000 >> Error detected...
1176715000 >> Error detected...
1177165000 >> Error detected...
1177865000 >> Error detected...
1178465000 >> Error detected...
1180040000 >> Error detected...
1180665000 >> Error detected...
1182115000 >> Error detected...
1182765000 >> Error detected...
1183215000 >> Error detected...
1183915000 >> Error detected...
1184340000 >> Error detected...
1186090000 >> Error detected...
1186715000 >> Error detected...
1188165000 >> Error detected...
1188815000 >> Error detected...
1189265000 >> Error detected...
1189965000 >> Error detected...
1190390000 >> Error detected...
1192140000 >> Error detected...
1192765000 >> Error detected...
1194215000 >> Error detected...
1194865000 >> Error detected...
1195315000 >> Error detected...
1196015000 >> Error detected...
1196440000 >> Error detected...
1198190000 >> Error detected...
1198815000 >> Error detected...
1200265000 >> Error detected...
1200915000 >> Error detected...
1201365000 >> Error detected...
1202065000 >> Error detected...
1202490000 >> Error detected...
1204240000 >> Error detected...
1204865000 >> Error detected...
1206315000 >> Error detected...
1206965000 >> Error detected...
1207415000 >> Error detected...
1208115000 >> Error detected...
1208540000 >> Error detected...
1210115000 >> Error detected...
1210890000 >> Error detected...
1212340000 >> Error detected...
1212990000 >> Error detected...
1213440000 >> Error detected...
1214140000 >> Error detected...
1214565000 >> Error detected...
1216140000 >> Error detected...
1216940000 >> Error detected...
1218390000 >> Error detected...
1219040000 >> Error detected...
1219490000 >> Error detected...
1220190000 >> Error detected...
1220615000 >> Error detected...
1222190000 >> Error detected...
1222815000 >> Error detected...
1224440000 >> Error detected...
1225090000 >> Error detected...
1225540000 >> Error detected...
1226240000 >> Error detected...
1226665000 >> Error detected...
1228240000 >> Error detected...
1228865000 >> Error detected...
1230490000 >> Error detected...
1231140000 >> Error detected...
1231590000 >> Error detected...
1232290000 >> Error detected...
1232715000 >> Error detected...
1234290000 >> Error detected...
1234915000 >> Error detected...
1236540000 >> Error detected...
1237190000 >> Error detected...
1237640000 >> Error detected...
1238340000 >> Error detected...
1238765000 >> Error detected...
1240340000 >> Error detected...
1240965000 >> Error detected...
1242590000 >> Error detected...
1243240000 >> Error detected...
1243690000 >> Error detected...
1244390000 >> Error detected...
1244815000 >> Error detected...
1246390000 >> Error detected...
1247015000 >> Error detected...
1248465000 >> Error detected...
1249290000 >> Error detected...
1249740000 >> Error detected...
1250440000 >> Error detected...
1250865000 >> Error detected...
1252440000 >> Error detected...
1253065000 >> Error detected...
1254515000 >> Error detected...
1255340000 >> Error detected...
1255790000 >> Error detected...
1256490000 >> Error detected...
1256915000 >> Error detected...
1258490000 >> Error detected...
1259115000 >> Error detected...
1260565000 >> Error detected...
1261215000 >> Error detected...
1261840000 >> Error detected...
1262540000 >> Error detected...
1262965000 >> Error detected...
1264540000 >> Error detected...
1265165000 >> Error detected...
1266615000 >> Error detected...
1267265000 >> Error detected...
1267890000 >> Error detected...
1268590000 >> Error detected...
1269015000 >> Error detected...
1270590000 >> Error detected...
1271215000 >> Error detected...
1272665000 >> Error detected...
1273315000 >> Error detected...
1273765000 >> Error detected...
1274640000 >> Error detected...
1275065000 >> Error detected...
1276640000 >> Error detected...
1277265000 >> Error detected...
1278715000 >> Error detected...
1279365000 >> Error detected...
1279815000 >> Error detected...
1280515000 >> Error detected...
1281115000 >> Error detected...
1282690000 >> Error detected...
1283315000 >> Error detected...
1284765000 >> Error detected...
1285415000 >> Error detected...
1285865000 >> Error detected...
1286565000 >> Error detected...
1287165000 >> Error detected...
1288740000 >> Error detected...
1289365000 >> Error detected...
1290815000 >> Error detected...
1291465000 >> Error detected...
1291915000 >> Error detected...
1292615000 >> Error detected...
1293040000 >> Error detected...
1294765000 >> Error detected...
1295390000 >> Error detected...
1296840000 >> Error detected...
1297490000 >> Error detected...
1297940000 >> Error detected...
1298640000 >> Error detected...
1299065000 >> Error detected...
1300815000 >> Error detected...
1301440000 >> Error detected...
1302890000 >> Error detected...
1303540000 >> Error detected...
1303990000 >> Error detected...
